periodCode,accountCode,currency,dimensionKey,debitOriginal,creditOriginal,exchangeRate
2026-06,12210022,CNY,,21500.00,0.00,1
2026-06,12210023,CNY,,18000.00,0.00,1
2026-06,12210024,CNY,,50000.00,0.00,1
2026-06,12210025,CNY,,80000.00,0.00,1
2026-06,12210099,CNY,,0.00,52865.35,1
2026-06,14050001,CNY,,1693859.98,0.00,1
2026-06,14050002,CNY,,194690.27,0.00,1
2026-06,14050003,CNY,,5904.43,0.00,1
2026-06,14050004,CNY,,2105053.51,0.00,1
2026-06,14050005,CNY,,2557.52,0.00,1
2026-06,14110001,CNY,,14705.72,0.00,1
2026-06,16010001001,CNY,,464193.81,0.00,1
2026-06,16010001002,CNY,,40336.28,0.00,1
2026-06,1602,CNY,,0.00,194765.66,1
2026-06,20010001,CNY,,0.00,2423240.53,1
2026-06,20010002,CNY,,0.00,268482.00,1
2026-06,20010003,CNY,,0.00,200000.00,1
2026-06,20010004,CNY,,0.00,3856000.00,1
2026-06,20010005,CNY,,0.00,150000.00,1
2026-06,20010006,CNY,,0.00,48000.00,1
2026-06,22020001,CNY,,0.00,429.00,1
2026-06,22020003,CNY,,0.00,2700.00,1
2026-06,22020004,CNY,,0.00,10000.00,1
2026-06,22020005,CNY,,0.00,756200.00,1
2026-06,22020009,CNY,,15000.00,0.00,1
2026-06,22020010,CNY,,28800.00,0.00,1
2026-06,22020011,CNY,,24295.00,0.00,1
2026-06,22020014,CNY,,0.00,222172.70,1
2026-06,22020015,CNY,,0.00,8900.00,1
2026-06,22020016,CNY,,0.00,4150.00,1
2026-06,22020017,CNY,,460000.00,0.00,1
2026-06,22020018,CNY,,36000.00,0.00,1
2026-06,22020019,CNY,,52512.00,0.00,1
2026-06,22020020,CNY,,14000.00,0.00,1
2026-06,22020021,CNY,,2600.00,0.00,1
2026-06,22020022,CNY,,748.00,0.00,1
2026-06,22020023,CNY,,0.00,6600.00,1
2026-06,22020024,CNY,,0.00,109672.00,1
2026-06,22020025,CNY,,0.00,72982.00,1
2026-06,22020026,CNY,,0.00,1680.00,1
2026-06,22020027,CNY,,0.00,2000.00,1
2026-06,22020028,CNY,,0.00,18000.00,1
2026-06,22020029,CNY,,0.00,29020.00,1
2026-06,22020030,CNY,,0.00,1800.00,1
2026-06,22020031,CNY,,0.00,4658.00,1
2026-06,22020032,CNY,,0.00,529520.00,1
2026-06,22020036,CNY,,0.40,0.00,1
2026-06,22020037,CNY,,0.00,300.00,1
2026-06,22020038,CNY,,0.00,2715.00,1
2026-06,22020042,CNY,,0.00,200000.00,1
2026-06,22020043,CNY,,0.00,622063.95,1
2026-06,22020044,CNY,,0.00,72000.00,1
2026-06,22020045,CNY,,9340.00,0.00,1
2026-06,22020046,CNY,,0.00,403500.00,1
2026-06,22020047,CNY,,49292.00,0.00,1
2026-06,22020049,CNY,,0.00,815900.00,1
2026-06,22020050,CNY,,67357.20,0.00,1
2026-06,22020051,CNY,,34522.00,0.00,1
2026-06,22020052,CNY,,2568.00,0.00,1
2026-06,22020055,CNY,,2396.00,0.00,1
2026-06,22020056,CNY,,6600.00,0.00,1
2026-06,22020058,CNY,,270950.00,0.00,1
2026-06,22020059,CNY,,0.00,20000.00,1
2026-06,22020060,CNY,,583910.00,0.00,1
2026-06,22020061,CNY,,0.00,1275.00,1
2026-06,22020063,CNY,,39500.00,0.00,1
2026-06,22020064,CNY,,41532.00,0.00,1
2026-06,22020065,CNY,,2495.00,0.00,1
2026-06,22020066,CNY,,28000.00,0.00,1
2026-06,22020067,CNY,,44100.00,0.00,1
2026-06,22020068,CNY,,57500.00,0.00,1
2026-06,22020069,CNY,,220000.00,0.00,1
2026-06,22020070,CNY,,0.00,7756.00,1
2026-06,22020075,CNY,,85536.00,0.00,1
2026-06,22020080,CNY,,85536.00,0.00,1
2026-06,22020081,CNY,,1540.00,0.00,1
2026-06,22020082,CNY,,127050.00,0.00,1
2026-06,22020083,CNY,,95885.00,0.00,1
2026-06,22020086,CNY,,7650.00,0.00,1
